absvar-value,dLx,dLy
1.0000000000e-02,3.3069095435e-01,-1.0456228611e+02
1.0000000000e-05,3.3183800500e-01,-1.0261228843e+02
1.0000000000e-07,3.3183900072e-01,-1.0261268141e+02
