ABSVAR,dLx,dLy
0,-1.0949434749231e+00,-1.0651752182442e+01
1,1.0964588986516e+00,-1.0676217259598e+01
2,-1.0032605327148e+01,1.7870702079384e+02
3,9.9837396370898e+00,1.7839564453036e+02
4,-3.1203256189560e-01,-6.1148591876333e+01
5,3.2103045623549e-01,-6.2066214621934e+01
6,-2.9024634775749e-01,-1.0627127135878e+02
7,3.2843183470407e-01,-1.0636219152327e+02
