ABSVAR,dLx,dLy
0,-1.3735646582568e-01,-4.0828778888905e-01
1,1.3705808684983e-01,-4.1285997834810e-01
2,-8.0084002755286e-01,8.4466578125100e+00
3,7.9500047034240e-01,8.4718189785416e+00
4,7.2512016866753e-02,-3.1332709815841e+00
5,-7.2370775024456e-02,-3.2087971474177e+00
6,-4.0789432456458e-02,-4.8678627155516e+00
7,4.6799239785518e-02,-4.8877599600714e+00
