absvar-value,dLx,dLy
1.0000000000e-02,1.2823440000e+00,-8.1161400000e-02
1.0000000000e-03,1.2798500000e+00,-8.7919000000e-02
1.0000000000e-04,1.2800000000e+00,-8.7920000000e-02
1.0000000000e-05,1.2800000000e+00,-8.7900000000e-02
1.0000000000e-06,1.2500000000e+00,-8.8000000000e-02
1.0000000000e-07,1.5000000000e+00,-9.0000000000e-02
