ABSVAR,dLx,dLy
0,-1.1072724152799e+00,-1.0725492285267e+01
1,1.1059353468714e+00,-1.0750037608089e+01
2,-1.0166762120544e+01,1.8003606831540e+02
3,1.0114146695265e+01,1.7971320658881e+02
4,-3.1577523142361e-01,-6.1625924337055e+01
5,3.3370422958465e-01,-6.2554104481677e+01
6,-2.9414052519690e-01,-1.0703843777264e+02
