ABSVAR,dLx,dLy
0,-1.3212417385029e+00,-1.7415144849161e+00
1,1.4545530265796e+00,-1.7996595712660e+00
2,-1.1780405460205e+01,1.0804554492616e+02
3,1.1803807938662e+01,1.0753911737767e+02
4,1.1081185350507e-01,-6.8019970228009e+01
5,-2.6062907621674e-01,-6.8206422792119e+01
6,-3.2344906497046e-01,-3.8013918806491e+01
7,3.1454694113550e-01,-3.8001081192552e+01
