ABSVAR,dLx,dLy
0,-3.4364107273023e+00,-2.6230416507186e+00
1,3.7592627213728e+00,-2.8369212408171e+00
2,-4.1604842047506e+01,3.2691432404929e+02
3,4.1278525239833e+01,3.2518845694169e+02
4,-2.8631317405817e-01,-2.1843212459863e+02
5,2.0384659587972e-01,-2.1854156076495e+02
6,-6.3680333380476e-01,-1.0496092503834e+02
7,7.2591996945815e-01,-1.0507571452911e+02
