absvar-value,dLx,dLy
1.0000000000e-02,-8.4794500000e-03,1.1121950000e-02
1.0000000000e-03,-8.1250000000e-03,1.1324500000e-02
1.0000000000e-04,-8.1250000000e-03,1.1325000000e-02
1.0000000000e-05,-8.1000000000e-03,1.1350000000e-02
1.0000000000e-06,-7.9999999997e-03,1.1500000000e-02
1.0000000000e-07,-9.9999999991e-03,9.9999999991e-03
