ABSVAR,dLx,dLy
0,-1.9042560502346e+00,-2.6161152351739e+00
1,2.0884974891079e+00,-2.7065393876892e+00
2,-1.8374001364202e+01,1.6702382162231e+02
3,1.8348125829583e+01,1.6620108430574e+02
4,1.9573105180029e-02,-1.0617878633613e+02
5,-1.8008954303519e-01,-1.0636484789331e+02
6,-4.3707185892125e-01,-5.7799743013800e+01
7,4.3581044266431e-01,-5.7800790956162e+01
