ABSVAR,dLx,dLy
0,-1.8934363212828e+00,-2.6088565055012e+00
1,2.0785128022395e+00,-2.6982366972522e+00
2,-1.8259652987012e+01,1.6634932947663e+02
3,1.8236373396415e+01,1.6552579249781e+02
4,1.8735021401102e-02,-1.0572955313399e+02
5,-1.8341656088068e-01,-1.0592109890594e+02
6,-4.3467681465835e-01,-5.7578895451515e+01
7,4.3418232922382e-01,-5.7577889805951e+01
