ABSVAR,dLx,dLy
0,-1.8778981463146e+00,-2.5980979495396e+00
1,2.0632111545954e+00,-2.6868014178724e+00
2,-1.8092758282818e+01,1.6541727127223e+02
3,1.8072230450192e+01,1.6459774413523e+02
4,1.8612216873605e-02,-1.0511100440688e+02
5,-1.8686598783793e-01,-1.0530893681543e+02
6,-4.3134982223401e-01,-5.7275988879039e+01
7,4.3148282109698e-01,-5.7274809573722e+01
