ABSVAR,dLx,dLy
0,-1.0577345139784e-02,1.8458665662948e-03
1,1.0548631025512e-02,1.8727030316443e-03
2,-5.7375857931726e-02,1.2956976808718e-01
3,5.7562054626003e-02,1.3160094165011e-01
4,5.3626710945030e-03,-6.9276545810923e-02
5,-5.7631503355619e-03,-6.9703235175787e-02
6,-3.4551838811930e-03,-6.2715859256570e-02
7,3.6991045692983e-03,-6.3207613095525e-02
