absvar-value,dLx,dLy
1.0000000000e-02,-1.1022500000e+00,-1.0266784500e+01
1.0000000000e-03,-1.1020000000e+00,-1.0266885000e+01
1.0000000000e-04,-1.1050000000e+00,-1.0266900000e+01
1.0000000000e-05,-1.1000000000e+00,-1.0266500000e+01
1.0000000000e-06,-1.5000000000e+00,-1.0265000000e+01
1.0000000000e-07,-5.0000000007e+00,-1.0250000000e+01
