absvar-value,dLx,dLy
1.0000000000e-02,-1.7248000000e-01,7.4064500000e-02
1.0000000000e-03,-1.7245000000e-01,7.4065000000e-02
1.0000000000e-04,-1.7250000000e-01,7.4050000000e-02
1.0000000000e-05,-1.7500000000e-01,7.4000000000e-02
1.0000000000e-06,-1.5000000000e-01,7.4999999999e-02
1.0000000000e-07,-5.0000000001e-01,5.0000000008e-02
