absvar-value,dLx,dLy
1.0000000000e-02,-8.5133000000e-03,1.1149300000e-02
1.0000000000e-03,-8.1580000000e-03,1.1351500000e-02
1.0000000000e-04,-8.1600000000e-03,1.1355000000e-02
1.0000000000e-05,-8.1500000000e-03,1.1350000000e-02
1.0000000000e-06,-8.4999999999e-03,1.1500000000e-02
1.0000000000e-07,-4.9999999974e-03,1.4999999999e-02
