ABSVAR,dLx,dLy
0,-1.7252728934646e-01,7.8066026206046e-02
1,1.9412129651662e-01,6.7805364569501e-02
2,-1.2697821260127e+00,7.1957814310174e+00
3,1.2935321642253e+00,7.1680100057910e+00
4,6.8093203892928e-02,-4.9192059867175e+00
5,-1.1129104001181e-01,-4.9158382914764e+00
6,-4.8303304917186e-02,-2.3483013095577e+00
7,4.6051000698011e-02,-2.3530160320796e+00
