ABSVAR,dLx,dLy
0,-1.8934299520815e+00,-2.6088469690953e+00
1,2.0785062575054e+00,-2.6982267539469e+00
2,-1.8259577927788e+01,1.6634863872102e+02
3,1.8236298848140e+01,1.6552510691378e+02
4,1.8735427446656e-02,-1.0572909539825e+02
5,-1.8341747173980e-01,-1.0592064252217e+02
6,-4.3467551941275e-01,-5.7578665356741e+01
7,4.3418121612027e-01,-5.7577659586229e+01
